text,gr,head,dep,distance,dep_type,spacy,stanford
The horse which Kim sometimes rides is more bad tempered than mine.,dobj,6,2,4,0,1,1
the horse as well as the rabbits which we wanted to eat have escaped.,dobj,10,2,8,0,0,0
the horse as well as the rabbits which we wanted to eat have escaped.,dobj,10,7,3,0,1,1
It was my aunt’s car which we sold at auction last year in February.,dobj,9,6,3,0,1,0
The veterans who I thought that we would meet at the reunion were dead.,dobj,5,2,3,0,1,1
"Natural  disasters  –  storms,  flooding,  hurricanes  –  occur  infrequently  but cause devastation that strains resources to breaking point.",nsubj,16,14,2,2,1,1
"Making  these  decisions  requires  sophisticated  knowledge  of  syntax; tagging manuals (Santorini, 1990) give various heuristics that can help human coders make these decisions and that can also provide useful features for automatic taggers.",nsubj,22,19,3,2,1,0
"Making  these  decisions  requires  sophisticated  knowledge  of  syntax; tagging manuals (Santorini, 1990) give various heuristics that can help human coders make these decisions and that can also provide useful features for automatic taggers.",nsubj,32,19,13,2,0,0
"The slightly simplified version of the Viterbi algorithm that we present takes as input a single HMM and a sequence of observed words O=(o1, o2, ...oT) and returns the most probable state/tag sequence Q=(q1, q2, qT) together with its probability.",dobj,11,4,7,0,1,0
"Coming home from very lonely places, all of us go a little mad: whether from great personal success, or just an all-night drive, we are the sole survivors of a world no one else has ever seen.",dobj,37,31,6,1,0,0
It consists of a series of pipes and a pressure-measuring chamber which record the rise and fall of the water surface.,nsubj,15,5,10,2,0,0
It consists of a series of pipes and a pressure-measuring chamber which record the rise and fall of the water surface.,nsubj,15,11,4,2,1,1
It consists of a series of pipes and a pressure-measuring chamber which record the rise and fall of the water surface.,prep,18,15,3,5,1,0
It consists of a series of pipes and a pressure-measuring chamber which record the rise and fall of the water surface.,prep,18,17,1,5,0,0
"He tried to ignore what his own common sense told him, but it wasn’t possible; her motives were too blatant.",dobj,10,5,5,3,0,1
What city does the Tour de France end in?,pobj,9,2,7,4,0,0
"For the third year in a row, consumers voted Bill Cosby first and James Garner second in persuasiveness as spokesmen in TV commercials, according to Video Storyboard Tests, New York.",prep,17,12,5,5,0,0
"For the third year in a row, consumers voted Bill Cosby first and James Garner second in persuasiveness as spokesmen in TV commercials, according to Video Storyboard Tests, New York.",prep,17,16,1,5,0,1
"In assigning to God the responsibility which he learned could not rest with his doctors, Eisenhower gave evidence of that weakening of the moral intuition which was to characterize his administration in the years to follow.",nsubj,12,6,6,6,0,0
"By Monday, they hope to have a sheaf of documents both sides can trust.",dobj,14,10,4,1,1,1
What did you submit to your thesis advisor?,dobj,4,1,3,4,1,1
What did you call to tell me?,dobj,6,1,5,4,0,1
Where should I park to avoid getting a parking ticket?,advmod,4,1,3,4,0,1
What did you eat during your vacation in Rome?,dobj,4,1,3,4,1,1
Nobody knows what happened because no one else was in the room when it happened.,nsubj,4,3,1,3,1,1
She couldn't ignore what her heart was telling her.,dobj,8,4,4,3,0,1
"He told her he needed to find himself, whatever that means.",dobj,11,9,2,3,1,1
"Honolulu, which is the center of the warning system, was under threat of attack",nsubj,5,1,4,6,0,1
The stranger who had held out his cigarette lighter to me retreated back into the shadows,nsubj,5,2,3,6,1,1
Each must match Wisman’s “pie” with the fragment he carries with him.,dobj,10,8,2,1,1,1
"The slightly simplified version of the Viterbi algorithm we present takes as input a single HMM and a sequence of observed words O=(o1, o2, ...oT) and returns the most probable state/tag sequence Q=(q1, q2, qT) together with its probability.",dobj,10,4,6,1,0,0
The veterans who I thought we would meet at the reunion were dead.,dobj,5,2,3,1,1,1
The veterans who I thought would be at the reunion were dead.,nsubj,7,2,5,6,0,0
